GEOID,total_pop,median_rent,median_income,median_age,educational_attainment_pop25,bachelor_degree,master_degree,professional_degree,doctoral_degree,white,african_american,tenure_owner,with_children,boardings,alightings
170312511004,1617.0,1043.0,36058.0,32.5,1021.0,68.0,23.0,0.0,0.0,405.0,1212.0,207.0,253.0,75.0,70.0
170318365001,1058.0,953.0,39659.0,24.8,517.0,103.0,0.0,0.0,0.0,0.0,1034.0,8.0,462.0,0.0,0.0
170310505003,863.0,1594.0,191985.0,34.9,633.0,303.0,209.0,9.0,14.0,705.0,15.0,199.0,213.0,10.0,5.0
170310505004,1151.0,2157.0,177234.0,35.1,814.0,352.0,233.0,61.0,0.0,995.0,0.0,312.0,305.0,61.0,57.0
170310506001,1168.0,1702.0,179375.0,37.0,931.0,488.0,183.0,49.0,22.0,1085.0,0.0,373.0,140.0,40.0,88.0
170310506002,992.0,1803.0,237500.0,33.8,668.0,291.0,139.0,71.0,53.0,969.0,8.0,268.0,207.0,66.0,29.0
170310601001,789.0,1416.0,248500.0,38.0,601.0,251.0,144.0,56.0,29.0,708.0,46.0,161.0,162.0,43.0,14.0
170310601003,877.0,1847.0,109583.0,34.1,605.0,235.0,114.0,78.0,9.0,675.0,66.0,270.0,215.0,362.0,162.0
170310815002,1497.0,2319.0,250001.0,54.3,1467.0,578.0,542.0,196.0,18.0,1268.0,16.0,423.0,17.0,604.0,612.0
170310815003,1619.0,1909.0,182214.0,34.9,1374.0,646.0,280.0,141.0,80.0,963.0,75.0,411.0,36.0,314.0,392.0
170310818003,2528.0,2536.0,250001.0,35.4,2402.0,1102.0,535.0,363.0,30.0,1837.0,167.0,590.0,44.0,44.0,60.0
170311611002,994.0,1913.0,170682.0,36.5,639.0,295.0,100.0,31.0,45.0,646.0,70.0,270.0,302.0,46.0,60.0
170311612002,1937.0,1075.0,83472.0,35.0,1350.0,327.0,75.0,22.0,6.0,1495.0,26.0,382.0,309.0,29.0,80.0
170311613003,730.0,1081.0,50114.0,32.2,489.0,58.0,12.0,9.0,0.0,525.0,0.0,112.0,178.0,50.0,127.0
170311613004,1145.0,1511.0,63409.0,37.9,852.0,129.0,71.0,51.0,0.0,971.0,42.0,256.0,192.0,43.0,39.0
170318312001,593.0,836.0,28693.0,47.7,419.0,32.0,23.0,0.0,0.0,593.0,0.0,88.0,92.0,63.0,61.0
170318346002,493.0,372.0,85208.08522167488,52.5,427.0,4.0,0.0,0.0,0.0,14.0,479.0,74.0,44.0,28.0,38.0
170318346001,106.0,1145.3387096774193,85208.08522167488,27.9,75.0,0.0,15.0,0.0,0.0,0.0,106.0,15.0,0.0,10.0,12.0
170316720001,737.0,1145.3387096774193,60063.0,43.5,502.0,0.0,39.0,0.0,0.0,0.0,708.0,169.0,0.0,34.0,82.0
170316720002,1229.0,1262.0,56864.0,31.5,773.0,167.0,70.0,0.0,10.0,0.0,1174.0,198.0,115.0,6.0,60.0
